S.No.,Player_name,Team,Matches,Innings,Not_out,Total_runs_scored,Highest_score,Batting_avg,Total_balls_faced,Strike_rate,Hundreds,Fifties,Ducks,Fours,Sixes,Nineties,Best_Bowling,Wkts_taken,5_wkts,4_wkts,Catch_taken,Stamp_by_wk,Balls_bowled,Bowling_avg,Economy,Runs_given,Category
118,Matheesha Pathirana,CSK,12,12,0,0,0,NA,0,NA,0,0,NA,0,0,0,3 for 36,13,0,0,3,0,251,32.62,10.14,424,Bowler
119,Marcus Stoinis,PBKS,13,13,5,160,44,26.67,86,186.05,0,0,NA,8,15,0,1 for 14,1,0,0,1,0,85,175,12.35,175,AR
120,Nehal Wadhera,PBKS,16,16,3,369,70,30.75,253,145.85,0,2,NA,28,21,0,0 for 9,0,0,0,6,0,5,NA,10.8,9,AR
121,Harpreet Brar,PBKS,8,8,1,11,7,11,13,84.62,0,0,NA,0,1,0,3 for 22,10,0,0,0,0,132,19,8.64,190,Bowler
122,Vyshak Vijaykumar,PBKS,5,5,0,0,0,NA,0,NA,0,0,NA,0,0,0,2 for 44,4,0,0,1,0,102,45.25,10.65,181,Bowler
123, Yash Thakur,PBKS,2,2,0,0,0,NA,0,NA,0,0,NA,0,0,0,1 for39,1,0,0,0,0,39,79,12.15,79,Bowler
124,Josh Inglis,PBKS,11,11,2,278,73,30.89,171,162.57,0,1,NA,26,16,0,0,0,0,0,9,1,0,NA,NA,0,WK Batsman
125,Azmatullah Omarzai,PBKS,9,9,1,57,21,14.25,41,139.02,0,0,NA,6,3,0,2 for 33,8,0,0,1,0,162,34.88,10.33,279,Bowler
126,Musheer Khan,PBKS,1,1,0,0,0,NA,3,NA,0,0,NA,0,0,0,1 for 27,1,0,0,0,0,12,27,13.5,27,AR
127,Suryansh Shedge,PBKS,5,5,0,7,4,2.33,11,63.64,0,0,NA,0,0,0,0 for 40,0,0,0,1,0,18,NA,13.33,40,AR
128,Xavier Bartlett,PBKS,4,4,0,11,11,11,15,73.33,0,0,NA,1,0,0,1 for 26,2,0,0,5,0,60,48,9.6,96,Bowler
129,Pravin Dubey,PBKS,1,1,0,0,0,NA,0,NA,0,0,0,0,0,0,1 for 20,1,0,0,1,0,12,20,10,20,Bowler
130,Mitch Owen,PBKS,1,1,0,0,0,NA,2,NA,0,0,0,0,0,0,0,0,0,0,2,0,0,NA,NA,0,Bowler
131,Kyle Jamieson,PBKS,4,4,2,0,0,NA,5,NA,0,0,NA,0,0,0,3 for 48,5,0,0,0,0,90,29.4,9.8,147,Bowler
132,Shashank Singh,PBKS,17,17,7,350,61,50,228,153.51,0,3,NA,23,18,0,0 for27,0,0,0,7,0,12,NA,13.5,27,AR
133,Sanju Samson,RR,9,9,1,285,66,35.63,203,140.39,0,1,NA,27,13,0,0,0,0,0,4,1,0,NA,NA,0,WK Batsman
